Layer Title, Color, Specimen ID,
Layer 1, Blue, 2011-0034_A.5.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1208.301563,100%,
345.6488616,1245.165,0%,
345.8650625,1206.93625,79.41%,
346.0812525,2235.699219,38.18%,
346.2974318,2312.156719,0%,
346.5136003,2597.507031,0%,
346.7297579,2230.237969,0%,
346.9459048,2063.669844,100%,
347.1620409,1990.625625,0%,
347.3781662,2115.551719,100%,
347.5942807,2078.428222,100%,
347.8103844,2136.128929,100%,
348.0264773,2174.747768,100%,
348.2425594,2222.046094,100%,
348.4586306,2221.103378,96.19%,
348.6746911,2218.892872,71.40%,
348.8907407,2203.744405,64.41%,
349.1067796,2210.798519,58.70%,
349.3228076,2235.991786,56.39%,
349.5388247,2253.383266,59.63%,
349.7548311,2256.666518,55.54%,
349.9708266,2265.833616,49.07%,
350.1868113,2281.53471,45.29%,
350.4027852,2298.666131,43.97%,
350.6187482,2293.822522,43.95%,
350.8347004,2287.743631,45.86%,
351.0506418,2295.740461,43.80%,
351.2665723,2294.960283,44.15%,
351.482492,2298.113504,42.57%,
351.6984008,2302.014397,50.07%,
351.9142988,2300.681592,46.01%,
352.130186,2312.806868,49.33%,
352.3460623,2313.164449,44.83%,
352.5619277,2337.382493,45.55%,
352.7777823,2336.602314,41.72%,
352.993626,2336.699836,39.46%,
353.2094589,2362.738296,45.17%,
353.4252808,2373.498259,45.64%,
353.641092,2375.253661,47.16%,
353.8568922,2345.54186,45.31%,
354.0726816,2357.959702,42.17%,
354.2884601,2357.764658,41.33%,
354.5042278,2356.236808,40.53%,
354.7199845,2347.914903,39.31%,
354.9357304,2328.833036,36.86%,
355.1514654,2334.911927,36.03%,
355.3671895,2346.842158,35.17%,
355.5829028,2344.306577,33.16%,
355.7986051,2349.60529,33.42%,
356.0142966,2350.320454,32.52%,
356.2299771,2354.123824,25.51%,
356.4456468,2352.205885,26.71%,
356.6613056,2363.811042,28.92%,
356.8769534,2361.763073,29.43%,
357.0925904,2352.791019,30.12%,
357.3082164,2362.218177,32.45%,
357.5238316,2361.730565,33.89%,
357.7394358,2329.775751,28.45%,
357.9550291,2317.878028,27.46%,
358.1706116,2311.6366,24.53%,
358.386183,2337.902612,24.13%,
358.6017436,2323.56683,24.62%,
358.8172933,2319.178326,20.46%,
359.032832,2327.922827,21.84%,
359.2483598,2316.83779,21.48%,
359.4638767,2328.833036,21.03%,
359.6793826,2333.806674,19.34%,
359.8948776,2330.295871,16.62%,
360.1103617,2332.636406,17.43%,
360.3258349,2332.246317,16.02%,
360.5412971,2323.534323,15.87%,
360.7567483,2322.29904,17.14%,
360.9721886,2313.554539,15.54%,
361.187618,2303.639769,13.64%,
361.4030364,2291.254435,13.65%,
361.6184439,2306.207857,12.87%,
361.8338404,2305.525201,11.12%,
362.0492259,2315.765045,10.72%,
362.2646005,2323.306771,11.51%,
362.4799642,2326.069903,11.35%,
362.6953168,2338.81282,11.33%,
362.9106585,2335.627091,11.02%,
363.1259893,2339.820551,11.24%,
363.3413091,2356.009256,11.26%,
363.5566179,2360.007671,10.23%,
363.7719157,2371.775365,9.51%,
363.9872025,2352.726004,8.78%,
364.2024784,2361.145432,8.98%,
364.4177433,2370.280022,8.13%,
364.6329972,2389.134338,7.58%,
