Layer Title, Color, Specimen ID,
Layer 1, Blue,951002_A.3.trans,
Mode, Integration Time, Boxcar Width, Scans to Average
Transmittance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1220.589375,100%,
345.6488616,1214.445469,100%,
345.8650625,1208.301563,100%,
346.0812525,2238.429844,100%,
346.2974318,2241.843125,100%,
346.5136003,2526.510781,0%,
346.7297579,2221.363438,100%,
346.9459048,2063.669844,100%,
347.1620409,2013.153281,100%,
347.3781662,2093.706719,100%,
347.5942807,2043.385201,0%,
347.8103844,2092.92654,100%,
348.0264773,2129.822485,100%,
348.2425594,2172.342217,0%,
348.4586306,2167.98622,0%,
348.6746911,2169.449055,0%,
348.8907407,2156.446079,0%,
349.1067796,2161.972344,0%,
349.3228076,2182.679583,0%,
349.5388247,2194.122202,0%,
349.7548311,2194.804859,0%,
349.9708266,2202.086525,0%,
350.1868113,2218.437768,0%,
350.4027852,2234.854025,0%,
350.6187482,2227.767403,0%,
350.8347004,2220.973348,0%,
351.0506418,2227.864926,0%,
351.2665723,2231.798326,0%,
351.482492,2237.422113,0%,
351.6984008,2236.609427,0%,
351.9142988,2238.85244,0%,
352.130186,2247.044315,0%,
352.3460623,2254.000908,0%,
352.5619277,2276.821131,0%,
352.7777823,2279.194174,0%,
352.993626,2281.144621,0%,
353.2094589,2300.486548,0%,
353.4252808,2309.328571,100%,
353.641092,2308.158304,100%,
353.8568922,2280.494472,0%,
354.0726816,2294.017567,100%,
354.2884601,2293.790015,100%,
354.5042278,2296.26058,100%,
354.7199845,2290.214196,100%,
354.9357304,2271.587433,100%,
355.1514654,2275.293281,100%,
355.3671895,2282.867515,100%,
355.5829028,2278.316473,100%,
355.7986051,2279.941845,100%,
356.0142966,2282.639963,100%,
356.2299771,2292.32718,100%,
356.4456468,2287.12599,100%,
356.6613056,2296.52064,100%,
356.8769534,2292.294673,100%,
357.0925904,2285.403095,100%,
357.3082164,2291.677031,100%,
357.5238316,2290.701808,100%,
357.7394358,2264.208244,100%,
357.9550291,2251.920432,100%,
358.1706116,2247.401897,100%,
358.386183,2271.74997,100%,
358.6017436,2256.276429,100%,
358.8172933,2251.985446,100%,
359.032832,2259.852247,100%,
359.2483598,2246.556704,100%,
359.4638767,2259.982277,100%,
359.6793826,2266.483765,100%,
359.8948776,2266.67881,100%,
