Layer Title, Color, Specimen ID,
Layer 1, Blue, X_2-396_A.5.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1255.404844,100%,
345.6488616,1217.176094,26.15%,
345.8650625,1175.534063,0%,
346.0812525,2237.064531,34.55%,
346.2974318,2263.688125,0%,
346.5136003,2558.595625,14.29%,
346.7297579,2178.356094,100%,
346.9459048,2064.3525,100%,
347.1620409,2036.363594,100%,
347.3781662,2136.714063,100%,
347.5942807,2061.524353,67.78%,
347.8103844,2114.088884,39.82%,
348.0264773,2151.537455,28.51%,
348.2425594,2196.852827,32.33%,
348.4586306,2195.064918,32.67%,
348.6746911,2197.470469,28.07%,
348.8907407,2181.70436,23.44%,
349.1067796,2188.953519,20.10%,
349.3228076,2214.699412,22.09%,
349.5388247,2228.092478,21.00%,
349.7548311,2228.157493,15.91%,
349.9708266,2233.228653,8.36%,
350.1868113,2246.751749,5.60%,
350.4027852,2263.88317,6.48%,
350.6187482,2255.853832,5.44%,
350.8347004,2251.107746,11.40%,
351.0506418,2257.219144,9.52%,
351.2665723,2257.186637,10.92%,
351.482492,2260.372366,10.39%,
351.6984008,2263.428065,17.98%,
351.9142988,2265.411019,16.78%,
352.130186,2272.335104,16.17%,
352.3460623,2279.064144,17.04%,
352.5619277,2301.884368,17.06%,
352.7777823,2303.50974,15.49%,
352.993626,2302.632039,12.52%,
353.2094589,2322.234025,12.64%,
353.4252808,2332.733929,14.44%,
353.641092,2332.636406,16.46%,
353.8568922,2303.607262,14.55%,
354.0726816,2318.463162,13.34%,
354.2884601,2319.048296,13.43%,
354.5042278,2320.576146,14.57%,
354.7199845,2313.196957,13.90%,
354.9357304,2296.195565,13.29%,
355.1514654,2305.330156,14.94%,
355.3671895,2314.594777,12.57%,
355.5829028,2314.30221,12.37%,
355.7986051,2320.77119,13.24%,
356.0142966,2323.599338,13.59%,
356.2299771,2333.35157,10.80%,
356.4456468,2326.785067,9.20%,
356.6613056,2337.349985,11.11%,
356.8769534,2330.848497,8.87%,
357.0925904,2322.331548,10.25%,
357.3082164,2328.085365,9.80%,
357.5238316,2326.23244,10.38%,
357.7394358,2299.836399,8.88%,
357.9550291,2289.564048,9.09%,
358.1706116,2285.143036,7.32%,
358.386183,2311.344033,7.71%,
358.6017436,2296.488132,8.11%,
358.8172933,2293.529955,4.80%,
359.032832,2301.234219,6.42%,
359.2483598,2287.938676,5.50%,
359.4638767,2299.413802,5.40%,
359.6793826,2302.11192,3.20%,
359.8948776,2298.698638,1.10%,
360.1103617,2299.803891,2.15%,
360.3258349,2299.05622,1.49%,
360.5412971,2290.344226,2.17%,
360.7567483,2286.150766,3.27%,
360.9721886,2281.632232,3.94%,
361.187618,2277.113698,4.61%,
361.4030364,2264.598333,5.05%,
361.6184439,2277.926384,4.28%,
361.8338404,2283.712708,5.06%,
362.0492259,2294.700223,5.34%,
362.2646005,2298.666131,5.70%,
362.4799642,2299.121235,5.46%,
362.6953168,2314.17218,6.38%,
362.9106585,2310.498839,6.36%,
363.1259893,2311.571585,6.46%,
363.3413091,2325.517277,6.50%,
363.5566179,2331.043542,6.02%,
363.7719157,2346.874665,6.15%,
363.9872025,2327.077634,5.57%,
364.2024784,2332.798943,5.70%,
364.4177433,2346.80965,5.61%,
364.6329972,2366.704204,5.34%,
364.8482401,2375.611243,5.28%,
365.063472,2379.284583,4.83%,
365.2786929,2385.395982,4.58%,
365.4939029,2398.301436,4.31%,
365.7091018,2388.679234,4.10%,
365.9242898,2397.716302,4.00%,
366.1394667,2378.829479,3.88%,
366.3546327,2371.58032,3.76%,
366.5697876,2396.058423,3.84%,
366.7849315,2397.61878,3.72%,
367.0000645,2401.389643,3.55%,
367.2151864,2382.990432,3.27%,
367.4302973,2368.134531,3.07%,
367.6453972,2364.103609,3.07%,
367.860486,2354.676451,3.27%,
368.0755639,2362.608266,3.48%,
368.2906307,2368.719665,3.52%,
368.5056865,2380.064762,3.69%,
368.7207312,2390.369621,3.56%,
368.935765,2381.755149,3.67%,
369.1507877,2352.791019,3.60%,
369.3657993,2345.80192,3.72%,
369.5808,2357.99221,3.81%,
369.7957896,2338.55276,3.77%,
370.0107681,2337.28497,3.82%,
370.2257356,2346.842158,3.68%,
370.4406921,2349.962872,3.50%,
370.6556375,2365.371399,3.60%,
370.8705718,2386.176161,3.57%,
371.0854951,2361.242954,3.47%,
371.3004074,2387.899055,3.59%,
371.5153086,2396.058423,3.61%,
371.7301987,2406.135729,3.62%,
371.9450778,2416.66814,3.70%,
372.1599458,2407.533549,3.51%,
372.3748027,2426.19282,3.50%,
372.5896486,2405.973192,3.37%,
372.8044834,2391.799948,3.29%,
373.0193071,2402.169821,3.18%,
373.2341197,2377.561689,3.16%,
373.4489213,2380.422344,3.14%,
373.6637118,2390.532158,3.03%,
373.8784912,2373.303214,2.88%,
374.0932595,2366.834234,2.79%,
374.3080167,2379.544643,2.70%,
374.5227628,2375.51372,2.65%,
374.7374979,2386.403713,2.89%,
374.9522218,2391.052277,3.10%,
375.1669347,2382.925417,3.06%,
375.3816364,2361.568028,3.11%,
375.5963271,2374.018378,3.28%,
375.8110066,2341.380908,3.13%,
376.025675,2340.145625,3.18%,
376.2403324,2338.747805,3.28%,
376.4549786,2347.752366,3.23%,
376.6696137,2378.796972,3.29%,
376.8842377,2367.126801,3.28%,
377.0988505,2377.984286,3.30%,
377.3134523,2370.345037,3.31%,
377.5280429,2366.151577,3.30%,
377.7426224,2370.05247,3.21%,
377.9571908,2361.698058,3.23%,
378.171748,2367.679427,3.36%,
378.3862941,2392.0275,3.37%,
378.6008291,2391.214814,3.48%,
378.8153529,2390.174576,3.57%,
379.0298656,2398.496481,3.69%,
379.2443672,2367.224323,3.51%,
379.4588576,2365.663966,3.36%,
379.6733368,2368.589635,3.29%,
379.887805,2385.42849,3.23%,
380.1022619,2377.366644,3.17%,
380.3167077,2392.905201,3.17%,
380.5311424,2383.250491,3.17%,
380.7455659,2387.021354,3.12%,
380.9599782,2381.852671,3.19%,
381.1743794,2356.951972,3.25%,
381.3887694,2354.546421,3.25%,
381.6031483,2355.391615,3.24%,
381.8175159,2366.509159,3.15%,
382.0318725,2362.673281,3.17%,
382.2462178,2378.244345,3.24%,
382.4605519,2388.516696,3.20%,
382.6748749,2391.864963,3.17%,
382.8891867,2386.598757,3.24%,
383.1034873,2385.526012,3.15%,
383.3177767,2375.123631,3.11%,
383.532055,2370.117485,3.13%,
383.746322,2386.69628,3.15%,
383.9605779,2386.858817,3.21%,
384.1748226,2394.368036,3.29%,
384.389056,2380.812433,3.27%,
384.6032783,2382.990432,3.22%,
384.8174893,2380.519866,3.25%,
385.0316892,2393.750394,3.25%,
385.2458779,2393.132753,3.26%,
385.4600553,2388.386667,3.20%,
385.6742215,2411.011845,3.20%,
385.8883765,2426.615417,3.13%,
386.1025204,2434.872307,3.28%,
386.3166529,2437.993021,3.38%,
386.5307743,2443.97439,3.45%,
386.7448844,2437.960513,3.48%,
386.9589834,2458.992827,3.58%,
387.1730711,2463.056257,3.60%,
387.3871475,2478.399769,3.55%,
387.6012127,2494.52346,3.55%,
387.8152667,2511.752403,3.55%,
388.0293095,2528.071138,3.52%,
388.243341,2540.814055,3.50%,
388.4573613,2550.501272,3.54%,
388.6713703,2553.556972,3.48%,
388.8853681,2586.942113,3.50%,
389.0993547,2591.948259,3.49%,
389.31333,2592.95599,3.48%,
389.527294,2596.304256,3.46%,
389.7412468,2620.944896,3.47%,
389.9551883,2634.760558,3.50%,
390.1691186,2719.604978,3.47%,
390.3830376,2716.256711,3.47%,
390.5969453,2701.238274,3.37%,
390.8108418,2726.659092,3.34%,
391.024727,2741.514993,3.34%,
391.2386009,2759.166533,3.31%,
391.4524636,2748.211525,3.29%,
391.666315,2769.178824,3.26%,
391.8801551,2753.932835,3.27%,
392.0939839,2765.277932,3.30%,
392.3078014,2775.907865,3.28%,
392.5216077,2786.212723,3.25%,
392.7354027,2790.731257,3.26%,
392.9491864,2792.356629,3.23%,
393.1629587,2797.55782,3.26%,
393.3767198,2788.910841,3.24%,
393.5904696,2792.779226,3.23%,
393.8042081,2811.178438,3.22%,
